"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"178 ";;Dr. Dipl.-;Dr. Dipl.-;Dr. Dipl.-Wirt.-Ing.FH   ;Dr. Dipl.-Wirt.-Ing.FH   ;Dr. Dipl.-Wirt.-Ing.(FH)                                                                                                                                                                                                                                       ;Dr. Dipl.-Wirt.-Ing.(FH)                                                                                                                                                                                                                                       ;;;;;"0";0;77;;
;"126 ";;Prof. Ph.D;Prof. Ph.D;Prof. Ph.D.,Dipl.-Ing.   ;Prof. Ph.D.,Dipl.-Ing.   ;Professor Ph.D.,Dipl.-Ing.                                                                                                                                                                                                                                     ;Professorin Ph.D.,Dipl.-Ing.                                                                                                                                                                                                                                   ;;;;;"0";0;78;;
;"009 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. oec. HSG       ;Prof. Dr. oec. HSG       ;Professor Dr. oec. HSG                                                                                                                                                                                                                                         ;Professorin Dr. oec. HSG                                                                                                                                                                                                                                       ;;;;;"0";0;79;;
;"008 ";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing.-Öko.          ;Dipl.-Ing.-Öko.          ;Diplom-Ingenieurökonom                                                                                                                                                                                                                                         ;Diplom-Ingenieurökonomin                                                                                                                                                                                                                                       ;;;;;"0";0;80;;
;"116 ";;Dipl.-Wirt;Dipl.-Wirt;Dipl.-Wirt.-Ing. (FH)    ;Dipl.-Wirt.-Ing. (FH)    ;Dipl.-Wirt.-Ing. (FH)                                                                                                                                                                                                                                          ;Dipl.-Wirt.-Ing. (FH)                                                                                                                                                                                                                                          ;;;;;"0";0;81;;
;"047 ";;Dipl.-Wirt;Dipl.-Wirt;Dipl.-Wirt.-Ing.         ;Dipl.-Wirt.-Ing.         ;Dipl.-Wirt.-Ing.                                                                                                                                                                                                                                               ;Dipl.-Wirt.-Ing.                                                                                                                                                                                                                                               ;;;;;"0";0;82;;
;"179 ";;Prof. a.D.;Prof. a.D.;Prof. a.D. Dr.-Ing. habil;Prof. a.D.Dr.-Ing. habil.;Professor a. D. Dr.-Ing. habil.                                                                                                                                                                                                                                ;Professorin a. D. Dr.-Ing. habil.                                                                                                                                                                                                                              ;;;;;"0";0;83;;
;"180 ";;Ingeniero,;Ingeniera,;Ingeniero, M.Sc.         ;Ingeniera, M.Sc.         ;Ingeniero, M.Sc.                                                                                                                                                                                                                                               ;Ingeniera, M.Sc.                                                                                                                                                                                                                                               ;;;;;"0";0;84;;
;"095 ";;Prof. Dipl;Prof. Dipl;Prof. Dipl.-Ing.         ;Prof. Dipl.-Ing.         ;Professor Dipl.-Ing.                                                                                                                                                                                                                                           ;Professorin Dipl.-Ing.                                                                                                                                                                                                                                         ;;;;;"0";0;85;;
;"167 ";;Prof. Dipl;Prof. Dipl;Prof. Dipl.-Ing. (FH)    ;Prof. Dipl.-Ing. (FH)    ;Professor Dipl.-Ing. (FH)                                                                                                                                                                                                                                      ;Professorin Dipl.-Ing. (FH)                                                                                                                                                                                                                                    ;;;;;"0";0;86;;
;"154 ";;Prof. a. D;Prof. a. D;Prof. a. D. Dipl.-Ing.   ;Prof. a. D. Dipl.-Ing.   ;Professor a. D. Dipl.-Ing.                                                                                                                                                                                                                                     ;Professorin a. D. Dipl.-Ing.                                                                                                                                                                                                                                   ;;;;;"0";0;87;;
;"147 ";;Prof. a. D;Prof. a. D;Prof. a. D. Dipl.-Ing.   ;Prof. a. D. Dipl.-Ing.   ;Professor a. D. Dipl.-Ing.                                                                                                                                                                                                                                     ;Professorin a. D. Dipl.-Ing.                                                                                                                                                                                                                                   ;;;;;"0";0;88;;
;"129 ";;Prof. Dipl;Prof. Dipl;Prof. Dipl.-Kfm.         ;Prof. Dipl.-Kfm.         ;Professor Dipl.-Kfm.                                                                                                                                                                                                                                           ;Professorin Dipl.-Kfm.                                                                                                                                                                                                                                         ;;;;;"0";0;89;;
;"153 ";;;;Prof. Dipl.-Phys.        ;Prof. Dipl.-Phys.        ;Professor Dipl.-Phys.                                                                                                                                                                                                                                          ;Professorin Dipl.-Phys.                                                                                                                                                                                                                                        ;;;;;"0";0;90;;
;"164 ";;Prof. a. D;Prof. a. D;Prof. a. D. Dr.-Ing.     ;Prof. a. D. Dr.-Ing      ;Professor a. D. Dr.-Ing.                                                                                                                                                                                                                                       ;Professorin a. D. Dr.-Ing.                                                                                                                                                                                                                                     ;;;;;"0";0;91;;
;"096 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr.                ;Prof. Dr.                ;Professor Dr.                                                                                                                                                                                                                                                  ;Professorin Dr.                                                                                                                                                                                                                                                ;;;;;"0";0;92;;
;"163 ";;Prof. a. D;Prof. a. D;Prof. a. D. Dr.          ;Prof. a. D. Dr.          ;Professor a. D. Dr.                                                                                                                                                                                                                                            ;Professorin a. D. Dr.                                                                                                                                                                                                                                          ;;;;;"0";0;93;;
;"173 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. disc. pol.     ;Prof. Dr. disc. pol.     ;Professor Dr. disc. pol.                                                                                                                                                                                                                                       ;Professorin Dr. disc. pol.                                                                                                                                                                                                                                     ;;;;;"0";0;94;;
;"131 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. jur.           ;Prof. Dr. jur.           ;Professor Dr. jur.                                                                                                                                                                                                                                             ;Professorin Dr. jur.                                                                                                                                                                                                                                           ;;;;;"0";0;95;;
;"137 ";;Prof. a. D;Prof. a. D;Prof. a. D. Dr. jur.     ;Prof. a. D. Dr. jur.     ;Professor a. D. Dr. jur.                                                                                                                                                                                                                                       ;Professorin a. D. Dr. jur.                                                                                                                                                                                                                                     ;;;;;"0";0;96;;
;"099 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. phil.          ;Prof. Dr. phil.          ;Professor Dr. phil.                                                                                                                                                                                                                                            ;Professorin Dr. phil.                                                                                                                                                                                                                                          ;;;;;"0";0;97;;
;"100 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. phil. nat.     ;Prof. Dr. phil. nat.     ;Professor Dr. phil. nat.                                                                                                                                                                                                                                       ;Professorin Dr. phil. nat.                                                                                                                                                                                                                                     ;;;;;"0";0;98;;
;"101 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer. nat.      ;Prof. Dr. rer. nat.      ;Professor Dr. rer. nat.                                                                                                                                                                                                                                        ;Professorin Dr. rer. nat.                                                                                                                                                                                                                                      ;;;;;"0";0;99;;
;"125 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer. oec.      ;Prof. Dr. rer. oec.      ;Professor Dr. rer. oec.                                                                                                                                                                                                                                        ;Professorin Dr. rer. oec.                                                                                                                                                                                                                                      ;;;;;"0";0;100;;
;"162 ";;Prof.Dr.re;Prof.Dr.re;Prof.Dr.rer.pol.habil.   ;Prof.Dr.rer.pol.habil.   ;Professor Dr. rer. pol. habil.                                                                                                                                                                                                                                 ;Professorin Dr. rer. pol. habil.                                                                                                                                                                                                                               ;;;;;"0";0;101;;
;"102 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer. pol.      ;Prof. Dr. rer. pol.      ;Professor Dr. rer. pol.                                                                                                                                                                                                                                        ;Professorin Dr. rer. pol.                                                                                                                                                                                                                                      ;;;;;"0";0;102;;
;"124 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. sc. rer.       ;Prof. Dr. sc. rer.       ;Professor Dr. sc. rer.                                                                                                                                                                                                                                         ;Professorin Dr. sc. rer.                                                                                                                                                                                                                                       ;;;;;"0";0;103;;
;"122 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. sc. techn.     ;Prof. Dr. sc. techn.     ;Professor Dr. sc. techn.                                                                                                                                                                                                                                       ;Professorin Dr. sc. techn.                                                                                                                                                                                                                                     ;;;;;"0";0;104;;
;"103 ";;Prof. Dr.-;Prof. Dr.-;Prof. Dr.-Ing.           ;Prof. Dr.-Ing.           ;Professor Dr.-Ing.                                                                                                                                                                                                                                             ;Professorin Dr.-Ing.                                                                                                                                                                                                                                           ;;;;;"0";0;105;;
;"117 ";;Prof. Dr.-;Prof. Dr.-;Prof. Dr.-Ing. habil.    ;Prof. Dr.-Ing. habil.    ;Professor Dr.-Ing. habil.                                                                                                                                                                                                                                      ;Professorin Dr.-Ing. habil.                                                                                                                                                                                                                                    ;;;;;"0";0;106;;
;"097 ";;Prof. Dr.j;Prof. Dr.j;Prof. Dr.jur. Dr.phil.   ;Prof. Dr.jur. Dr.phil.   ;Professor Dr.jur. Dr.phil.                                                                                                                                                                                                                                     ;Professorin Dr.jur. Dr.phil.                                                                                                                                                                                                                                   ;;;;;"0";0;107;;
;"128 ";;Prof. i. A;Prof. i. A;Prof. i. A.              ;Prof. i. A.              ;Professor i. A.                                                                                                                                                                                                                                                ;Professorin i. A.                                                                                                                                                                                                                                              ;;;;;"0";0;108;;
;"161 ";;Prof. i. A;Prof. i. A;Prof. i. A. Dr. rer. nat.;Prof. i. A. Dr. rer. nat.;Professor i. A. Dr. rer. nat.                                                                                                                                                                                                                                  ;Professorin i. A. Dr. rer. nat.                                                                                                                                                                                                                                ;;;;;"0";0;109;;
;"127 ";;Dipl.-Math;Dipl.-Math;Dipl.-Math.              ;Dipl.-Math.              ;Dipl.-Mathematiker                                                                                                                                                                                                                                             ;Dipl.-Mathematikerin                                                                                                                                                                                                                                           ;;;;;"0";0;110;;
;"003 ";;Dr. rer. p;Dr. rer. p;Dr. rer. pol.            ;Dr. rer. pol.            ;Dr. rer. pol.                                                                                                                                                                                                                                                  ;Dr. rer. pol.                                                                                                                                                                                                                                                  ;;;;;"0";0;111;;
;"104 ";;Prof. Dr.-;Prof. Dr.-;Prof. Dr.-Ing. (SU)      ;Prof. Dr.-Ing. (SU)      ;Professor Dr.-Ing. (SU)                                                                                                                                                                                                                                        ;Professorin Dr.-Ing. (SU)                                                                                                                                                                                                                                      ;;;;;"0";0;112;;
;"105 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. habil.         ;Prof. Dr. habil.         ;Professor Dr. habil.                                                                                                                                                                                                                                           ;Professorin Dr. habil.                                                                                                                                                                                                                                         ;;;;;"0";0;113;;
;"182 ";;Oberbaurat;Oberbaurät;Oberbaurat               ;Oberbaurätin             ;Oberbaurat                                                                                                                                                                                                                                                     ;Oberbaurat                                                                                                                                                                                                                                                     ;;;;;"0";0;114;;
;"055 ";;Diplom-Bio;Diplom-Bio;Diplom-Biologe           ;Diplom-Biologin          ;Diplom-Biologe                                                                                                                                                                                                                                                 ;Diplom-Biologin                                                                                                                                                                                                                                                ;;;;;"0";0;115;;
;"196 ";;Dipl.-Sozi;Dipl.-Sozi;Dipl.-Sozialarbeiter (FH);Dipl.-Sozialarbeiterin   ;Dipl.-Sozialarbeiter                                                                                                                                                                                                                                           ;Dipl.-Sozialarbeiterin (FH)                                                                                                                                                                                                                                    ;;;;;"0";0;116;;
;"139 ";;Dramaturg ;Dramaturg ;Dramaturg                ;Dramaturg                ;Dramaturg                                                                                                                                                                                                                                                      ;Dramaturg                                                                                                                                                                                                                                                      ;;;;;"0";0;117;;
;"183 ";;Dr. (UAI U;Dr. (UAI U;Dr. (UAI Ufa)            ;Dr. (UAI Ufa)            ;Dr.                                                                                                                                                                                                                                                            ;Dr.                                                                                                                                                                                                                                                            ;;;;;"0";0;118;;
;"184 ";;Dr. Dr.   ;Dr. Dr.   ;Dr. Dr.                  ;Dr. Dr.                  ;Dr. Dr.                                                                                                                                                                                                                                                        ;Dr. Dr.                                                                                                                                                                                                                                                        ;;;;;"0";0;119;;
;"186 ";;Honorarpro;Honorarpro;Honorarprofessor         ;Honorarprofessorin       ;Honorarprofessor                                                                                                                                                                                                                                               ;Honorarprofessorin                                                                                                                                                                                                                                             ;;;;;"0";0;120;;
;"187 ";;Honorarpro;Honorarpro;Honorarprofessor Dr.     ;Honorarprofessorin Dr.   ;Honorarprofessor Dr.                                                                                                                                                                                                                                           ;Honorarprofessorin Dr.                                                                                                                                                                                                                                         ;;;;;"0";0;121;;
;"188 ";;Dipl.-Geol;Dipl.-Geol;Dipl.-Geol.              ;Dipl.-Geol.              ;Dipl.-Geol.                                                                                                                                                                                                                                                    ;Dipl.-Geol.                                                                                                                                                                                                                                                    ;;;;;"0";0;122;;
;"012 ";;Dipl.-Arch;Dipl.-Arch;Dipl.-Architekt          ;Dipl.-Architektin        ;Dipl.-Architekt                                                                                                                                                                                                                                                ;Dipl.-Architektin                                                                                                                                                                                                                                              ;;;;;"0";0;123;;
;"13  ";;Dr. phil. ;Dr. phil. ;Dr. phil.                ;Dr. phil.                ;Dr. phil.                                                                                                                                                                                                                                                      ;Dr. phil.                                                                                                                                                                                                                                                      ;;;;;"0";0;124;;
;"013 ";;Dr. phil. ;Dr. phil. ;Dr. phil.                ;Dr. phil.                ;Dr. phil.                                                                                                                                                                                                                                                      ;Dr. phil.                                                                                                                                                                                                                                                      ;;;;;"0";0;125;;
;"014 ";;Ing. f. Vo;Ing. f. Vo;Ing. f. Vorfertigung     ;Ing. f. Vorfertigung     ;Ingenieur für Vorfertigung                                                                                                                                                                                                                                     ;Ingenieurin für Vorfertigung                                                                                                                                                                                                                                   ;;;;;"0";0;126;;
;"007 ";;Dr. jur.  ;Dr. jur.  ;Dr. jur.                 ;Dr. jur.                 ;Dr. jur.                                                                                                                                                                                                                                                       ;Dr. jur.                                                                                                                                                                                                                                                       ;;;;;"0";0;127;;
;"015 ";;Dipl.-Medi;Dipl.-Medi;Dipl.-Medien-Wiss.       ;Dipl.-Medien-Wiss.       ;Diplom Medienwissenschaftler                                                                                                                                                                                                                                   ;Diplom-Medienwissenschaftlerin                                                                                                                                                                                                                                 ;;;;;"0";0;128;;
;"018 ";;Dipl.-Poli;Dipl.-Poli;Dipl.-Politologe         ;Dipl.-Politologin        ;Diplom-Politologe                                                                                                                                                                                                                                              ;Diplom-Politologin                                                                                                                                                                                                                                             ;;;;;"0";0;129;;
;"038 ";;Dr. Dipl.-;Dr. Dipl.-;Dr. Dipl.-Ing. (FH)      ;Dr. Dipl.-Ing. (FH)      ;Dr. Dipl.-Ing. (FH)                                                                                                                                                                                                                                            ;Dr. Dipl.-Ing. (FH)                                                                                                                                                                                                                                            ;;;;;"0";0;130;;
;"189 ";;Dipl.-Psyc;Dipl.-Psyc;Dipl.-Psych.             ;Dipl.-Psych.             ;Dipl.-Psychologe                                                                                                                                                                                                                                               ;Dipl.-Psychologin                                                                                                                                                                                                                                              ;;;;;"0";0;131;;
;"056 ";;Dipl.-Infw;Dipl.-Infw;Dipl.-Infw. (FH)         ;Dipl.-Infw. (FH)         ;Diplom-Informationswirt (FH)                                                                                                                                                                                                                                   ;Diplom-Informationswirtin (FH)                                                                                                                                                                                                                                 ;;;;;"0";0;132;;
;"1134";;Dipl.-Gwl.;Dipl.-Gwl.;Dipl.-Gwl.               ;Dipl.-Gwl.               ;Dipl.-Gwl.                                                                                                                                                                                                                                                     ;Dipl.-Gwl.                                                                                                                                                                                                                                                     ;;;;;"0";0;133;;
;"020 ";;Dr. iur.  ;Dr. iur.  ;Dr. iur.                 ;Dr. iur.                 ;Dr. iur.                                                                                                                                                                                                                                                       ;Dr. iur.                                                                                                                                                                                                                                                       ;;;;;"0";0;134;;
;"019 ";;Dipl.-Phys;Dipl.-Phys;Dipl.-Phys.              ;Dipl.-Phys.              ;Diplom-Physiker                                                                                                                                                                                                                                                ;Diplom-Physiker                                                                                                                                                                                                                                                ;;;;;"0";0;135;;
;"037 ";;Dipl.-Sozi;Dipl.-Sozi;Dipl.-Sozialpäd. (FH)    ;Dipl.-Sozialpäd. (FH)    ;Diplom-Sozialpädagoge (FH)                                                                                                                                                                                                                                     ;Diplom-Sozialpädagogin (FH)                                                                                                                                                                                                                                    ;;;;;"0";0;136;;
;"070 ";;Dipl. Kult;Dipl. Kult;Dipl. Kulturw.Uni./BWL BA;Dipl. Kulturw.Uni./BWL BA;Diplom Kulturwirt Univ. / Diplom BWL BA                                                                                                                                                                                                                        ;Diplom Kulturwirtin Univ. / Diplom BWL BA                                                                                                                                                                                                                      ;;;;;"0";0;137;;
;"191 ";;Studiendir;Studiendir;Studiendirektor          ;Studiendirektorin        ;Studiendirektor                                                                                                                                                                                                                                                ;Studiendirektorin                                                                                                                                                                                                                                              ;;;;;"0";0;138;;
;"049 ";;Rechtsasse;Rechtsasse;Rechtsassessor           ;Rechtsassessorin         ;Rechtsassessor                                                                                                                                                                                                                                                 ;Rechtsassessorin                                                                                                                                                                                                                                               ;;;;;"0";0;139;;
;"036 ";;Dipl.-Übs.;Dipl.-Übs.;Dipl.-Übs./Dipl.-Päd.    ;Dipl.-Übs./Dipl.-Päd.    ;Diplom-Übersetzer/Diplom-Pädagage                                                                                                                                                                                                                              ;Diplom-Übersetzerin/Diplom-Padagogin                                                                                                                                                                                                                           ;;;;;"0";0;140;;
;"039 ";;Diplomfach;Diplomfach;Diplomfachübersetzer     ;Diplomfachübersetzerin   ;Diplomfachübersetzer                                                                                                                                                                                                                                           ;Diplomfachübersetzerin                                                                                                                                                                                                                                         ;;;;;"0";0;141;;
;"072 ";;Tech. Betr;Tech. Betr;Tech. Betriebsw.(FH)     ;Tech. Betriebsw. (FH)    ;Tech. Betriebswirt (FH)                                                                                                                                                                                                                                        ;Tech. Betriebswirtin (FH)                                                                                                                                                                                                                                      ;;;;;"0";0;142;;
;"073 ";;Dipl.-Medi;Dipl.-Medi;Dipl.-Medienwirt         ;Dipl.-Medienwirtin       ;Dipl.-Medienwirt                                                                                                                                                                                                                                               ;Dipl.-Medienwirtin                                                                                                                                                                                                                                             ;;;;;"0";0;143;;
;"074 ";;Betriebswi;Betriebswi;Betriebswirt (BA)        ;Betriebswirtin (BA)      ;Betriebswirt (BA)                                                                                                                                                                                                                                              ;Betriebswirtin (BA)                                                                                                                                                                                                                                            ;;;;;"0";0;144;;
;"075 ";;Dipl.-Geog;Dipl.-Geog;Dipl.-Geogr. Univ.       ;Dipl.-Geogr. Univ.       ;Dipl.-Geograph Univ.                                                                                                                                                                                                                                           ;Dipl.-Geographin Univ.                                                                                                                                                                                                                                         ;;;;;"0";0;145;;
;"076 ";;Dipl. Betr;Dipl. Betr;Dipl. Betriebsw. VWA     ;Dipl. Betriebsw. VWA     ;Dipl. Betriebswirt VWA                                                                                                                                                                                                                                         ;Dipl. Betriebswirtin VWA                                                                                                                                                                                                                                       ;;;;;"0";0;146;;
;"077 ";;Betriebswi;Betriebswi;Betriebswirt             ;Betriebswirtin           ;Betriebswirt                                                                                                                                                                                                                                                   ;Betriebswirtin                                                                                                                                                                                                                                                 ;;;;;"0";0;147;;
;"078 ";;Dipl. Sozi;Dipl. Sozi;Dipl. Sozialwirt         ;Dipl. Sozialwirtin       ;Dipl. Sozialwirt                                                                                                                                                                                                                                               ;Dipl. Sozialwirtin                                                                                                                                                                                                                                             ;;;;;"0";0;148;;
;"079 ";;Dipl. Rund;Dipl. Rund;Dipl. Rundf.Journal.     ;Dipl. Rundf.Journal.     ;Dipl. Rundfunk Journalist                                                                                                                                                                                                                                      ;Dipl. Rundfunk Journalistin                                                                                                                                                                                                                                    ;;;;;"0";0;149;;
;"066 ";;Dipl. Sozi;Dipl. Sozi;Dipl. Soziologe          ;Dipl. Soziologin         ;Dipl. Soziologe                                                                                                                                                                                                                                                ;Dipl. Soziologin                                                                                                                                                                                                                                               ;;;;;"0";0;150;;
