,01257,0,ZS,A,,Dresden,DD,14612,
,01259,0,ZS,A,,Dresden,DD,14612,
,01261,0,,A,,Dresden,DD,14612,
,01262,0,,A,,Dresden,DD,14612,
,01263,0,,A,,Dresden,DD,14612,
,01264,0,,A,,Dresden,DD,14612,
,01265,0,,A,,Dresden,DD,14612,
,01266,0,,A,,Dresden,DD,14612,
,01277,0,ZS,A,,Dresden,DD,14612,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01279,0,ZS,A,,Dresden,DD,14612,
,01281,0,,A,,Dresden,DD,14612,
,01282,0,,A,,Dresden,DD,14612,
,01283,0,,A,,Dresden,DD,14612,
,01287,0,,A,,Dresden,DD,14612,
,01288,0,,A,,Dresden,DD,14612,
,01290,0,,A,,Dresden,DD,14612,
,01291,0,,A,,Dresden,DD,14612,
,01292,0,,A,,Dresden,DD,14612,
,01303,0,,A,,Dresden,DD,14612,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01304,0,,A,,Dresden,DD,14612,
,01305,0,,A,,Dresden,DD,14612,
,01307,0,ZS,A,,Dresden,DD,14612,
,01309,0,ZS,A,,Dresden,DD,14612,
,01311,0,,A,,Dresden,DD,14612,
,01314,0,,A,,Dresden,DD,14612,
,01315,0,,A,,Dresden,DD,14612,
,01324,0,ZS,A,,Dresden,DD,14612,
,01326,0,ZS,A,,Dresden,DD,14612,
,01328,0,ZS,A,,Dresden,DD,14612,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01330,0,,A,,Dresden,DD,14612,
,01332,0,,A,,Dresden,DD,14612,
,01333,0,,A,,Dresden,DD,14612,
,01435,0,,A,,Radebeul,MEI,14627,
,01436,0,,A,,Radebeul,MEI,14627,
,01439,0,,A,,Radebeul,MEI,14627,
,01445,0,ZS,A,,Radebeul,MEI,14627,
,01446,0,,A,,Radeberg,BZ,14625,
,01451,0,,A,,Radeberg,BZ,14625,
,01454,0,ZS,A,,Wachau,BZ,14625,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01454,0,ZS,A,,Radeberg,BZ,14625,
,01458,0,ZS,A,,Ottendorf-Okrilla,BZ,14625,
,01465,0,ZS,A,,SchÃ¶nborn,DD,14612,
,01465,0,ZS,A,,LangebrÃ¼ck,DD,14612,
,01468,0,ZS,A,,Moritzburg,MEI,14627,
,01471,0,ZS,A,,Radeburg,MEI,14627,
,01477,0,ZS,A,,Arnsdorf,BZ,14625,
,01552,0,,A,,GroÃenhain,MEI,14627,
,01553,0,,A,,GroÃenhain,MEI,14627,
,01558,0,ZS,A,,GroÃenhain,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01561,0,ZS,A,,Priestewitz,MEI,14627,
,01561,0,ZS,A,,SchÃ¶nfeld,MEI,14627,
,01561,0,ZS,A,,Thiendorf,MEI,14627,
,01561,0,ZS,A,,Liega,MEI,14627,
,01561,0,ZS,A,,Lampertswalde,MEI,14627,
,01561,0,ZS,A,,KrauÃnitz,MEI,14627,
,01561,0,ZS,A,,GroÃenhain,MEI,14627,
,01561,0,ZS,A,,Fasanerie,MEI,14627,
,01561,0,ZS,A,,Ebersbach,MEI,14627,
,01561,0,ZS,A,,BÃ¶hla,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01571,0,,A,,Riesa,MEI,14627,
,01572,0,,A,,Riesa,MEI,14627,
