"res4";"aikz";"ktxt";"dtxt";"ltxt"
J;A;zugestimmt;SPAM-Filter zugestimmt   ;SPAM-Filter zugestimmt                            
N;A;abgelehnt ;SPAM-Filter abgelehnt    ;SPAM-Filter abgelehnt                             
