"res5";"aikz";"ktxt";"dtxt";"ltxt"
W;A;Wiederhole;Wiederholer              ;Wiederholer                                       
U;A;Urlaub    ;Urlaub                   ;Urlaub                                            
P;A;Praxis    ;Praxissemester           ;Praxissemester                                    
