"res1";"aikz";"ktxt";"dtxt";"ltxt"
G;A;TG        ;Techn. Gymnasium         ;Techn. Gymnasium                                  
F;A;VP fehlt  ;fehlt                    ;Vorpraktikum fehlt                                
A;A;Ausbildung;Ausbildung               ;Ausbildung                                        
V;A;Vertrag   ;Vertrag                  ;Vertrag                                           
T;A;Teilerlaß ;Teilerlaß                ;Teilerlaß                                         
