"db_einfuegemarke","key_hochschule","ueberkey","kurz_hochschule","druck_hochschule","text_hochschule","bund_hochschule","key_von","key_bis","habil_recht","land_hochschule","art","betriebsnummer","haupt_neben_kz","plz","ort"
,"1379  ",,,Unisklinikum Marburg     ,"Universitätsklinikum Gießen und Marburg, Abt. Marburg                                                                                                                                                                                                          ","1379",,,,,,,,,
,"1380  ",,FU Berlin ,Freie Universität Berlin ,Freie Universität Berlin                                                                                                                                                                                                                                       ,"1380",,,J,,,,,,
,"1390  ",,,Unismedizin Uni Mainz    ,Universitätsmedizin der Johannes Gutenberg-Universität Mainz                                                                                                                                                                                                   ,"1390",,,,,,,,,
,"1410  ",,,Allensbach HS Konstanz   ,Allensbach Hochschule Konstanz (Priv. FH)                                                                                                                                                                                                                      ,"1410",,,,,,,,,
,"1430  ",,TU Brnschw,TU Braunschweig          ,TU Braunschweig                                                                                                                                                                                                                                                ,"1430",,,J,,,,,,
,"1440  ",,TU Clausth,TU Clausthal             ,TU Clausthal                                                                                                                                                                                                                                                   ,"1440",,,J,,,,,,
,"1450  ",,Uni Hannov,Universität Hannover     ,Universität Hannover                                                                                                                                                                                                                                           ,"1450",,,J,,,,,,
,"1460  ",,ZU FN     ,Zeppelin Friedrichshafen ,"Zeppelin Universität, Friedrichshafen (Priv. H)                                                                                                                                                                                                                ","1460",,,J,,,,,,
,"1470  ",,,DIU Dresden Internat. Uni,DIU Dresden International University (Priv. H)                                                                                                                                                                                                                 ,"1470",,,,,,,,,
,"1481  ",,TH Aachen ,TH Aachen                ,TH Aachen                                                                                                                                                                                                                                                      ,"1481",,,J,,,,,,
,"1489  ",,,TH Aachen (Klinik)       ,TH Aachen (Klinikum)                                                                                                                                                                                                                                           ,"1489",,,,,,,,,
,"1491  ",,PrHS Witt ,Priv.HS Witten/Herdecke  ,Priv.HS Witten/Herdecke                                                                                                                                                                                                                                        ,"1491",,,J,,,,,,
,"1499  ",,,Witten/Herdecke (Klinik) ,"Universität Witten/Herdecke (Klinikum), Priv. H                                                                                                                                                                                                                ","1499",,,,,,,,,
,"1500  ",,,"HS der Sparkassen, Bonn  ",Hochschule für Finanzwirtschaft & Management Bonn (Priv. FH)                                                                                                                                                                                                   ,"1500",,,,,,,,,
,"1510  ",,,CVJM-HS Kassel (Priv. FH),CVJM-Hochschule Kassel (Priv. FH)                                                                                                                                                                                                                              ,"1510",,,,,,,,,
,"1520  ",,,Psychoanalytic Uni Berlin,International Psychoanalytic University Berlin (Priv. H)                                                                                                                                                                                                       ,"1520",,,,,,,,,
,"1530  ",,TH Darmstd,TH Darmstadt             ,TH Darmstadt                                                                                                                                                                                                                                                   ,"1530",,,J,,,,,,
,"1540  ",,PrFH EuBS ,Priv.FH EuBS Oestrich-Win,Priv.FH EuBS Oestrich-Win                                                                                                                                                                                                                                      ,"1540",,,N,,,,,,
,"1541  ",,,EBS Wiesbaden Oestrich   ,EBS U für Wirtschaft und Recht Wiesbaden in Oestrich-Winkel (Priv. H)                                                                                                                                                                                          ,"1541",,,,,,,,,
,"1542  ",,,EBS Wiesbaden            ,EBS U für Wirtschaft und Recht Wiesbaden in Wiesbaden (Priv. H)                                                                                                                                                                                                ,"1542",,,,,,,,,
,"1550  ",,,"Evang. HS Tabor, Marburg ","Evangelische Hochschule Tabor, Marburg (Priv. H)                                                                                                                                                                                                               ","1550",,,,,,,,,
,"1561  ",,,HS Medien Kom Wirt Berlin,"Media University of Applied Sciences Berlin, Campus Berlin (Priv. FH)                                                                                                                                                                                          ","1561",,,,,,,,,
,"1562  ",,,Medien Komm Berlin  Köln ,"Media University of Applied Sciences Berlin, Campus Köln (Priv. FH)                                                                                                                                                                                            ","1562",,,,,,,,,
,"1563  ",,,"MKW Berlin, Frankfurt    ","Media University of Applied Sciences Berlin, Campus Frankfurt (Priv. FH)                                                                                                                                                                                       ","1563",,,,,,,,,
,"1570  ",,,HS Sport Manag. Potsdam  ,"Fachhochschule für Sport und Management, Potsdam (Priv. FH)                                                                                                                                                                                                    ","1570",,,,,,,,,
,"1580  ",,Uni Krls  ,Universität(TH) Karlsruhe,Universität(TH) Karlsruhe                                                                                                                                                                                                                                      ,"1580",,,J,,,,,,
,"1590  ",,Uni Stuttg,Universität(TH) Stuttgart,Universität(TH) Stuttgart                                                                                                                                                                                                                                      ,"1590",,,J,,,,,,
,"1600  ",,,Quadriga HS Berlin       ,Quadriga Hochschule Berlin (Priv. FH)                                                                                                                                                                                                                          ,"1600",,,,,,,,,
,"1610  ",,,DEKRA HS  Medien Berlin  ,DEKRA Hochschule für Medien Berlin (Priv. FH)                                                                                                                                                                                                                  ,"1610",,"2021-12-31",,,,,,,
,"1631  ",,TU München,TU München               ,TU München                                                                                                                                                                                                                                                     ,"1631",,,J,,,,,,
,"1632  ",,,TU München Weihenstephan ,"TU München, Abt. Weihenstephan                                                                                                                                                                                                                                 ","1632",,"2023-12-31",,,,,,,
,"1633  ",,TUM Garch ,"TU München, Garching     ","TU München, Abt. Garching                                                                                                                                                                                                                                      ","1633",,"2023-12-31",J,,,,,,
,"1634  ",,TUM SR    ,"TU München, Straubing    ","TU München, Abt. Straubing                                                                                                                                                                                                                                     ","1634",,"2023-12-31",J,,,,,,
,"1635  ",,TU MÜ HB  ,"TU München, Abt.Heilbronn","TU München, Abt. Heilbronn                                                                                                                                                                                                                                     ","1635",,"2023-12-31",J,,,,,,
,"1639  ",,,TU München (Klinik)      ,"TU München, Abt. München (Klinikum)                                                                                                                                                                                                                            ","1639",,,,,,,,,
,"1660  ",,,"EBC Hamburg, Düsseldorf  ",EBC Euro Business College Hamburg Campus Düsseldorf Priv. FH                                                                                                                                                                                                   ,"1660",,"2021-12-31",,,,,,,
,"1680  ",,,"CBS, Köln                ",CBS International Business School Köln in Köln (Priv. FH)                                                                                                                                                                                                      ,"1680",,,,,,,,,
,"1681  ",,,"CBS Köln, Mainz          ",CBS International Business School Köln in Mainz (Priv. FH)                                                                                                                                                                                                     ,"1681",,,,,,,,,
,"1682  ",,CBS Brühl ,CBS Köln in Brühl        ,CBS International Business School Köln in Brühl (Priv. FH)                                                                                                                                                                                                     ,"1682",,"2024-12-31",N,,,,,,
,"1683  ",,CBS Neuss ,CBS Köln in Neuss        ,CBS International Business School Köln in Neuss (Priv. FH)                                                                                                                                                                                                     ,"1683",,,N,,,,,,
,"1690  ",,TU Berlin ,TU Berlin                ,TU Berlin                                                                                                                                                                                                                                                      ,"1690",,,J,,,,,,
,"1700  ",,,"ESCP Europe Wirt, Berlin ","ESCP Europe Wirtschaftshochschule, Berlin (Priv. H)                                                                                                                                                                                                            ","1700",,,,,,,,,
,"1710  ",,,H für Politik München    ,H für Politik München                                                                                                                                                                                                                                          ,"1710",,,,,,,,,
,"1720  ",,HSWiPol HH,HS Wirtsch.u.Pol. Hamburg,HS Wirtsch.u.Pol. Hamburg                                                                                                                                                                                                                                      ,"1021",,"2015-12-31",J,,,,,,
,"1731  ",,Med.HS Han,Med. Hochschule Hannover ,Med. Hochschule Hannover                                                                                                                                                                                                                                       ,"1731",,,J,,,,,,
,"1739  ",,,Med. HS Hannover (Klinik),Medizinische H Hannover (Klinikum)                                                                                                                                                                                                                             ,"1739",,,,,,,,,
,"1740  ",,TÄHS Han  ,Tierärztliche HS Hannover,Tierärztliche HS Hannover                                                                                                                                                                                                                                      ,"1740",,,J,,,,,,
,"1751  ",,,SRH Berlin               ,SRH Hochschule der populären Künste Berlin (Priv. FH)                                                                                                                                                                                                          ,"7971",,"2019-12-31",,,,,,,
,"1760  ",,,Business School Berlin   ,BSP Business and Law School - H für Management und Recht Berlin in Berlin (Priv. FH)                                                                                                                                                                           ,"1760",,,,,,,,,
,"1761  ",,,BSB Management in Hamburg,BSP Business and Law School - H für Management und Recht Berlin in Hamburg (Priv. FH)                                                                                                                                                                          ,"1761",,,,,,,,,
,"1770  ",,,"H Gesundheit, Bochum     ",Hochschule für Gesundheit FH Bochum                                                                                                                                                                                                                            ,"1770",,,,,,,,,
,"1780  ",,,Weserbergland Hameln     ,"Hochschule Weserbergland (HSW), Hameln (Priv. FH)                                                                                                                                                                                                              ","1780",,,,,,,,,
,"1790  ",,,HIWL Bremen              ,"Hochschule für intern. Wirtschaft und Logistik (HIWL), Bremen (Priv. FH)                                                                                                                                                                                       ","1790",,,,,,,,,
,"1800  ",,Uni Hohenh,Universität Hohenheim    ,Universität Hohenheim                                                                                                                                                                                                                                          ,"1800",,,J,,,,,,
,"1810  ",,Uni Mannh ,Universität Mannheim     ,Universität Mannheim                                                                                                                                                                                                                                           ,"1810",,,J,,,,,,
,"1821  ",,Uni Ulm   ,Universität Ulm          ,Universität Ulm                                                                                                                                                                                                                                                ,"1821",,,J,,,,,,
,"1829  ",,,U Ulm (Klinik)           ,U Ulm (Klinikum)                                                                                                                                                                                                                                               ,"1829",,,,,,,,,
,"1830  ",,,"Freie HS Stuttgart, päd. ","Freie Hochschule Stuttgart, Seminar für Waldorfpäd., (Priv. wiss. H)                                                                                                                                                                                           ","1830",,,,,,,,,
,"1840  ",,,Psychologische HS Berlin ,Psychologische Hochschule Berlin (Priv. H)                                                                                                                                                                                                                     ,"1840",,,,,,,,,
,"1850  ",,,Private FH Dresden       ,Private FH Dresden                                                                                                                                                                                                                                             ,"1850",,,,,,,,,
,"1870  ",,,Brand Academy Hamburg    ,Brand University Hamburg (Priv. FH)                                                                                                                                                                                                                            ,"1870",,,,,,,,,
,"1880  ",,,Medical School Hamburg   ,MSH Medical School Hamburg (Priv. FH)                                                                                                                                                                                                                          ,"1880",,,,,,,,,
,"1890  ",,,Bard College Berlin      ,"Bard College Berlin, A Liberal Arts University (Priv. H)                                                                                                                                                                                                       ","1890",,,,,,,,,
,"1900  ",,,Ger Busin School Berlin  ,"German open Business School, H für Wirtschaft und Verwaltung, Berlin (Priv. FH)                                                                                                                                                                                ","1900",,"2019-12-31",,,,,,,
,"1910  ",,,Leibniz - FachHS Hannover,Leibniz - Fachhochschule Hannover (Priv. FH)                                                                                                                                                                                                                   ,"1910",,,,,,,,,
,"1921  ",,,Wirt. Tech. Kultur Berlin,VICTORIA - Internationale Hochschule Berlin in Berlin (Priv. FH)                                                                                                                                                                                               ,"1921",,,,,,,,,
,"1922  ",,,PrivatFH Baden-Baden     ,VICTORIA - Internationale Hochschule Berlin in Baden-Baden (Priv. FH)                                                                                                                                                                                          ,"1922",,,,,,,,,
,"1930  ",,,ESMOD Berlin             ,ESMOD Berlin Internat. Kunsthochschule für Mode (Priv. H)                                                                                                                                                                                                      ,"1930",,"2018-12-31",,,,,,,
,"1940  ",,,HS Bad Liebenzell        ,"Internationale Hochschule Liebenzell (FH), Bad Liebenzell                                                                                                                                                                                                      ","1940",,,,,,,,,
,"1950  ",,,Fliedner  Düsseldorf     ,Fliedner Fachhochschule Düsseldorf (Priv. FH)                                                                                                                                                                                                                  ,"1950",,,,,,,,,
,"1960  ",,,"The KLU, Hamburg         ","Kühne Logistics University - The KLU, Hamburg (Priv. H)                                                                                                                                                                                                        ","1960",,,,,,,,,
,"1970  ",,,HdWM Mannheim            ,Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv.FH)                                                                                                                                                                                             ,"1970",,,,,,,,,
,"1980  ",,,Kunst Desig Freiburg     ,"Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br.(Priv. FH)                                                                                                                                                                                      ","0036",,"2018-12-31",,,,,,,
,"1981  ",,hKDM      ,hKDM Freib i.Br. Berlin  ,"Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br. in Berlin (Priv. FH)                                                                                                                                                                           ","0032",,"2018-12-31",N,,,,,,
,"1990  ",,,Berlin - Gesund Medizin  ,Medical School Berlin - H für Gesundheit und Medizin (Priv. FH)                                                                                                                                                                                                ,"1990",,,,,,,,,
,"2000  ",,PhThHS Ful,Phil.-Theol. HS Fulda    ,Phil.-Theol. HS Fulda                                                                                                                                                                                                                                          ,"2000",,,N,,,,,,
,"2020  ",,PhThHS StG,Phil.-Theol.HS St.Georgen,Phil.-Theol.HS St.Georgen                                                                                                                                                                                                                                      ,"2020",,,N,,,,,,
,"2030  ",,ThFak Padb,Theol.Fakultät Paderborn ,Theol.Fakultät Paderborn                                                                                                                                                                                                                                       ,"2030",,,N,,,,,,
,"2040  ",,ThFak Trie,Theol.Fakultät Trier     ,Theol.Fakultät Trier                                                                                                                                                                                                                                           ,"2040",,,J,,,,,,
,"2050  ",,ThHS Valld,Theol.HS Vallendar       ,Vinzenz Pallotti University Vallendar (Kirchl.-Theol. H)                                                                                                                                                                                                       ,"2050",,,J,,,,,,
,"2060  ",,PhThHS S.A,Phil.Theol.HS St.Augustin,"Kölner H für Katholische Theologie, Köln (Kirchl.-Theol. H)                                                                                                                                                                                                    ","2060",,,N,,,,,,
,"2070  ",,PhThHS Hen,Phil.Theol.HS Hennef     ,Phil.Theol.HS Hennef                                                                                                                                                                                                                                           ,"2070",,,N,,,,,,
,"2080  ",,PhThHS Mün,Phil.Theol.HS Münster    ,Phil.Theol.HS Münster                                                                                                                                                                                                                                          ,"2080",,,N,,,,,,
,"2100  ",,,Wilhelm Löhe Fürth       ,SRH University of Applied Sciences Heidelberg in Fürth (Priv. FH)                                                                                                                                                                                              ,"2100",,,,,,,,,
,"2150  ",,,Management Heidelberg    ,Hochschule für Internationales Management Heidelberg (Priv. FH)                                                                                                                                                                                                ,"2150",,,,,,,,,
,"2170  ",,HS Phil M ,HS Phil/PhilFak S.J.Münch,HS Phil/PhilFak S.J.Münch                                                                                                                                                                                                                                      ,"2170",,,J,,,,,,
,"2180  ",,PhThHS Ben,Phil./Theol. HS Benediktb,Phil./Theol. HS Benediktb                                                                                                                                                                                                                                      ,"2180",,,N,,,,,,
,"2190  ",,,DPFA  Sachsen Zwickau    ,DPFA Hochschule Sachsen in Zwickau (Priv. FH)                                                                                                                                                                                                                  ,"2190",,"2018-12-31",,,,,,,
,"2200  ",,,HS Geisenheim University ,Hochschule Geisenheim University (FH)                                                                                                                                                                                                                          ,"2200",,,,,,,,,
,"2211  ",,,HDBW München             ,HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (Priv. FH)                                                                                                                                                                 ,"2211",,,,,,,,,
,"2220  ",,,Theol. Ewersbach         ,"Theologische H Ewersbach in Dietzhölztal (ev), Priv. H                                                                                                                                                                                                         ","2220",,,,,,,,,
,"2240  ",,,"angew. Pädagogik, Berlin ","Hochschule für Soziale Arbeit und Pädagogik (HSAP), Berlin (Priv. FH)                                                                                                                                                                                          ","2240",,,,,,,,,
,"2250  ",,Kir.HS Bet,Kirchliche HS Bethel     ,Kirchliche HS Bethel                                                                                                                                                                                                                                           ,"2250",,,N,,,,,,
,"2260  ",,Kir.HS Wup,Kirchliche HS Wuppertal  ,Kirchliche HS Wuppertal                                                                                                                                                                                                                                        ,"2272",,"2015-12-31",N,,,,,,
,"2271  ",,KiHo-WB   ,Kirchl. HS Wuppert/Bethel,Kirchliche Hochschule Wuppertal/Bethel - H für Kirche und Diakonie in Bethel (ev)                                                                                                                                                                              ,"2271",,"2023-12-31",J,,,,,,
,"2272  ",,,Kirch. Wuppertal/Bethel  ,Kirchliche Hochschule Wuppertal/Bethel - H für Kirche und Diakonie in Wuppertal (ev)                                                                                                                                                                           ,"2272",,,,,,,,,
,"2280  ",,,Management Düsseldorf    ,IST-Hochschule für Management Düsseldorf (Priv. FH)                                                                                                                                                                                                            ,"2280",,,,,,,,,
,"2290  ",,,Bau International Berlin ,Bau International Berlin (Priv. FH)                                                                                                                                                                                                                            ,"2290",,,,,,,,,
,"2300  ",,HSjüdSt HD,HS f.jüd.Studien Heidelbg,HS f.jüd.Studien Heidelbg                                                                                                                                                                                                                                      ,"2300",,,N,,,,,,
,"2320  ",,LuThHS Obu,Luth.Theol.HS Oberursel  ,Luth.Theol.HS Oberursel                                                                                                                                                                                                                                        ,"2320",,,N,,,,,,
,"2350  ",,,Theol. H Friedensau      ,Theol. H Friedensau                                                                                                                                                                                                                                            ,"2350",,,,,,,,,
,"2360  ",,,Theologie Hermannsburg   ,FH für Interkulturelle Theologie Hermannsburg (Priv. FH)                                                                                                                                                                                                       ,"2360",,,,,,,,,
,"2370  ",,,"H Vitruvius, Leipzig     ",Vitruvius-Hochschule Leipzig in Leipzig Priv. FH                                                                                                                                                                                                               ,"0037",,"2018-12-31",,,,,,,
,"2371  ",,,"H Vitruvius, Schwerin    ",Vitruvius-Hochschule Leipzig in Schwerin (Priv. FH)                                                                                                                                                                                                            ,"2371",,"2018-12-31",,,,,,,
,"2381  ",,,"VWA, Stuttgart           ",VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Stuttgart (Priv. FH)                                                                                                                                                                              ,"2381",,,,,,,,,
,"2382  ",,,"VWA Stuttgart, Freiburg  ",VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (Priv. FH)                                                                                                                                                                               ,"2382",,,,,,,,,
,"2383  ",,,"VWA Stuttgart, Karlsruhe ",VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Karlsruhe (Priv. FH)                                                                                                                                                                              ,"2383",,,,,,,,,
,"2384  ",,,"VWA Stuttgart, Ulm       ",VWA - Hochschule für berufsbegleitendes Studium Stuttgart in Ulm (Priv. FH)                                                                                                                                                                                    ,"2384",,,,,,,,,
,"2390  ",,,München (Priv. KunstH)   ,Munich Institute of Media and Musical Arts in München (Priv. KunstH)                                                                                                                                                                                           ,"2390",,"2017-12-31",,,,,,,
,"2410  ",,,NBS Hamburg              ,NBS Northern Business School Hamburg (Priv. FH)                                                                                                                                                                                                                ,"2410",,,,,,,,,
,"2420  ",,,Medizinische Neuruppin   ,Medizinische Hochschule Brandenburg in Neuruppin (Priv. U)                                                                                                                                                                                                     ,"2420",,"2022-12-31",,,,,,,
,"2421  ",,MHB oKl NP,MHB ohne Klinikum NP     ,Medizinische Hochschule Brandenburg in Neuruppin (ohne Klinikum) (Priv. U)                                                                                                                                                                                     ,"2421",,,J,,,,,,
,"2429  ",,MHB Kl NP ,MHB mit Klinikum NP      ,Medizinische Hochschule Brandenburg in Neuruppin (Klinikum) (Priv. U)                                                                                                                                                                                          ,"2429",,,J,,,,,,
,"2430  ",,,"Alanus H, Alfter         ","Alanus H, Alfter (Priv. H)                                                                                                                                                                                                                                     ","2430",,,,,,,,,
,"2440  ",,,praxisHS Köln            ,praxisHochschule Köln in Köln (Priv. FH)                                                                                                                                                                                                                       ,"6414",,"2018-12-31",,,,,,,
,"2441  ",,,praxisHS Köln in Rheine  ,praxisHochschule Köln in Rheine (Priv. FH)                                                                                                                                                                                                                     ,"6415",,"2018-12-31",,,,,,,
,"2450  ",,HGWR      ,HS GesundOrient Wissen MH,EU European University of Applied Sciences Mannheim (Priv. FH)                                                                                                                                                                                                 ,"2450",,"2021-12-31",N,,,,,,
,"2480  ",,KirHS Berl,Kirchliche HS Berlin     ,Kirchliche HS Berlin                                                                                                                                                                                                                                           ,"2480",,,N,,,,,,
,"2490  ",,,Palucca HS Tanz Dresden  ,Palucca Hochschule für Tanz Dresden                                                                                                                                                                                                                            ,"2490",,,,,,,,,
,"2500  ",,HSMuThe H ,"HS Musik,Theater Hannover","HS Musik,Theater Hannover                                                                                                                                                                                                                                      ","2500",,,J,,,,,,
,"2510  ",,,KH Berlin                ,Weißensee Kunsthochschule Berlin                                                                                                                                                                                                                               ,"2510",,,,,,,,,
,"2520  ",,,H für Musik Berlin       ,H für Musik Berlin                                                                                                                                                                                                                                             ,"2520",,,,,,,,,
,"2530  ",,,Musik Theater Hannover   ,"H für Musik,Theater und Medien, Hannover                                                                                                                                                                                                                       ","2530",,,,,,,,,
,"2540  ",,,Schauspielkunst Berlin   ,H für Schauspielkunst Berlin                                                                                                                                                                                                                                   ,"2540",,,,,,,,,
,"2550  ",,,FilmUni. Babelsberg      ,Filmuniversität Babelsberg                                                                                                                                                                                                                                     ,"2550",,,,,,,,,
,"2561  ",,StHSMu WfL,St.HS Musik Westfalen-Lip,St.HS Musik Westfalen-Lip                                                                                                                                                                                                                                      ,"2561",,,N,,,,,,
,"2562  ",,StHSMu Ruh,Staatl.HS f.Musik Ruhr   ,Staatl.HS f.Musik Ruhr                                                                                                                                                                                                                                         ,"2574",,"2015-12-31",N,,,,,,
,"2571  ",,,"Folkwang-H Essen,  Essen ",Folkwang U der Künste Essen in Essen (Kunst-H)                                                                                                                                                                                                                 ,"2571",,,,,,,,,
,"2573  ",,,"Folkwang-H Essen,  Bochum",Folkwang U der Künste Essen in Bochum (Kunst-H)                                                                                                                                                                                                                ,"2573",,,,,,,,,
,"2581  ",,StHSMu Rhl,Staatl.HS Musik Rheinland,H für Musik und Tanz Köln in Köln                                                                                                                                                                                                                              ,"2581",,,N,,,,,,
,"2582  ",,,"H für Musik Köln,  Aachen",H für Musik und Tanz Köln in Aachen                                                                                                                                                                                                                            ,"2582",,,,,,,,,
,"2583  ",,,"HS Musik Köln,  Wuppertal",H für Musik und Tanz Köln in Wuppertal                                                                                                                                                                                                                         ,"2583",,,,,,,,,
,"2590  ",,MuHS Lübck,Musikhochschule Lübeck   ,Musikhochschule Lübeck                                                                                                                                                                                                                                         ,"2590",,,N,,,,,,
,"2600  ",,,Burg Giebichenstein Halle,"Burg Giebichenstein Kunsthochschule, Halle                                                                                                                                                                                                                     ","2600",,,,,,,,,
,"2610  ",,HSKstMu HB,"HS gest.Kst,Mu Bremen    ","HS gest.Kst,Mu Bremen                                                                                                                                                                                                                                          ","2610",,,N,,,,,,
,"2620  ",,HSMuKst F ,"HS Musik,Dar.Kunst Frankf","HS Musik,Dar.Kunst Frankf                                                                                                                                                                                                                                      ","2620",,,N,,,,,,
,"2630  ",,,Bildende Künste Dresden  ,H für Bildende Künste Dresden                                                                                                                                                                                                                                  ,"2630",,,,,,,,,
,"2640  ",,,Graphik Buchkunst Leipzig,H für Graphik und Buchkunst Leipzig                                                                                                                                                                                                                            ,"2640",,,,,,,,,
,"2650  ",,StHSMu FR ,St.HS Musik Freiburg i.Br,St.HS Musik Freiburg i.Br                                                                                                                                                                                                                                      ,"2650",,,N,,,,,,
,"2660  ",,,Musik Kunst Mannheim     ,Staatl. H für Musik und Darstellende Kunst Mannheim                                                                                                                                                                                                            ,"2660",,,,,,,,,
,"2661  ",,StHsMuHDMA,St.HS Musik Heidbg-Mannhm,St.HS Musik Heidbg-Mannhm                                                                                                                                                                                                                                      ,"2661",,,N,,,,,,
,"2670  ",,StHSMu KA ,Staatl.HS Musik Karlsruhe,Staatl.HS Musik Karlsruhe                                                                                                                                                                                                                                      ,"2670",,,N,,,,,,
