"db_einfuegemarke","key_hochschule","ueberkey","kurz_hochschule","druck_hochschule","text_hochschule","bund_hochschule","key_von","key_bis","habil_recht","land_hochschule","art","betriebsnummer","haupt_neben_kz","plz","ort"
,"0271  ",,,U Greifswald -ohne Klinik,U Greifswald (ohne Klinikum)                                                                                                                                                                                                                                   ,"0271",,,,,,,,,
,"0279  ",,,U Greifswald (Klinik)    ,U Greifswald (Klinikum)                                                                                                                                                                                                                                        ,"0279",,,,,,,,,
,"0301  ",,,U Halle (ohne Klinik)    ,"U Halle, Abt. Halle (ohne Klinikum)                                                                                                                                                                                                                            ","0301",,,,,,,,,
,"0302  ",,,"U Halle, Abt. Merseburg  ","U Halle, Abt. Merseburg                                                                                                                                                                                                                                        ","0302",,,,,,,,,
,"0309  ",,,"U Halle, Klinik          ","U Halle, Abt. Halle (Klinikum)                                                                                                                                                                                                                                 ","0309",,,,,,,,,
,"0311  ",,,U Magdeburg (ohne Klinik),U Magdeburg (ohne Klinikum)                                                                                                                                                                                                                                    ,"0311",,,,,,,,,
,"0319  ",,,U Magdeburg (Klinik)     ,U Magdeburg (Klinikum)                                                                                                                                                                                                                                         ,"0319",,,,,,,,,
,"0361  ",,Uni Leipzi,Universität Leipzig      ,Universität Leipzig                                                                                                                                                                                                                                            ,"0361",,,J,,,,,,
,"0369  ",,,U Leipzig (Klinik)       ,U Leipzig (Klinikum)                                                                                                                                                                                                                                           ,"0369",,,,,,,,,
,"0371  ",,,TU Dresden (ohne Klinik) ,TU Dresden (ohne Klinikum)                                                                                                                                                                                                                                     ,"0371",,,,,,,,,
,"0372  ",,,TU Dresden in Tharandt   ,TU Dresden in Tharandt                                                                                                                                                                                                                                         ,"0372",,,,,,,,,
,"0373  ",,,TU Dresden in Zittau     ,TU Dresden in Zittau (IHI)                                                                                                                                                                                                                                     ,"0373",,,,,,,,,
,"0379  ",,,TU Dresden (Klinik)      ,TU Dresden (Klinikum)                                                                                                                                                                                                                                          ,"0379",,,,,,,,,
,"0380  ",,,TU Chemnitz              ,TU Chemnitz                                                                                                                                                                                                                                                    ,"0380",,,,,,,,,
,"0390  ",,,TU BergAkad. Freiberg    ,TU Bergakademie Freiberg                                                                                                                                                                                                                                       ,"0390",,,,,,,,,
,"0491  ",,,U Jena (ohne Klinik)     ,U Jena (ohne Klinikum)                                                                                                                                                                                                                                         ,"0491",,,,,,,,,
,"0499  ",,,U Jena (Klinik)          ,U Jena (Klinikum)                                                                                                                                                                                                                                              ,"0499",,,,,,,,,
,"0500  ",,Uni Bambg ,Universität Bamberg      ,Universität Bamberg                                                                                                                                                                                                                                            ,"0500",,,J,,,,,,
,"0510  ",,Uni Bayrth,Universität Bayreuth     ,U Bayreuth in Bayreuth                                                                                                                                                                                                                                         ,"0510",,,J,,,,,,
,"0511  ",,U BT in KU,"U BT, Kulmbach           ",Universität Bayreuth in Kulmbach                                                                                                                                                                                                                               ,"0511",,,J,,,,,,
,"0520  ",,Uni Oldbg ,Universität Oldenburg    ,Universität Oldenburg                                                                                                                                                                                                                                          ,"0520",,,J,,,,,,
,"0530  ",,,U Osnabrück              ,U Osnabrück                                                                                                                                                                                                                                                    ,"0530",,,,,,,,,
,"0531  ",,Uni Osnabk,Universität Osnabrück    ,Universität Osnabrück                                                                                                                                                                                                                                          ,"0531",,,J,,,,,,
,"0540  ",,Uni Passau,Universität Passau       ,Universität Passau                                                                                                                                                                                                                                             ,"0540",,,J,,,,,,
,"0551  ",,Kath.U EI ,Kath. Uni Eichstätt      ,Kath. Uni Eichstätt                                                                                                                                                                                                                                            ,"0551",,,J,,,,,,
,"0552  ",,,Kath. U Ingolstadt       ,"Kath. U Eichstätt-Ingolstadt, Abt. Ingolstadt                                                                                                                                                                                                                  ","0552",,,,,,,,,
,"0560  ",,,Augustana Neuendettelsau ,Augustana-H (ev.) Neuendettelsau                                                                                                                                                                                                                               ,"0560",,,,,,,,,
,"0561  ",,HS Neuende,HS Neuendettelsau        ,HS Neuendettelsau                                                                                                                                                                                                                                              ,"0560",,"2015-12-31",J,,,,,,
,"0580  ",,,Bauhaus-Uni. Weimar      ,Bauhaus-Universität Weimar                                                                                                                                                                                                                                     ,"0580",,,,,,,,,
,"0590  ",,,TU Ilmenau               ,TU Ilmenau                                                                                                                                                                                                                                                     ,"0590",,,,,,,,,
,"0620  ",,,Uni Erfurt               ,U Erfurt                                                                                                                                                                                                                                                       ,"0620",,,,,,,,,
